




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (844)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
gamma-aminobutyric acid reuptake (GO:0051936)	4	4	.16	+	24.40	1.47E-04	1.95E-02
amino acid neurotransmitter reuptake (GO:0051933)	6	5	.25	+	20.33	3.54E-05	6.59E-03
vestibulocochlear nerve formation (GO:0021650)	5	4	.20	+	19.52	2.56E-04	2.94E-02
vestibulocochlear nerve development (GO:0021562)	10	6	.41	+	14.64	2.09E-05	4.34E-03
regulation of antimicrobial humoral response (GO:0002759)	11	5	.45	+	11.09	2.84E-04	3.05E-02
neurotransmitter reuptake (GO:0098810)	22	7	.90	+	7.76	1.04E-04	1.50E-02
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	19	6	.78	+	7.71	3.41E-04	3.45E-02
vocalization behavior (GO:0071625)	20	6	.82	+	7.32	4.28E-04	4.23E-02
hydrogen peroxide catabolic process (GO:0042744)	29	7	1.19	+	5.89	4.39E-04	4.31E-02
cranial nerve morphogenesis (GO:0021602)	30	7	1.23	+	5.69	5.23E-04	4.81E-02
neurotransmitter uptake (GO:0001504)	30	7	1.23	+	5.69	5.23E-04	4.78E-02
keratinization (GO:0031424)	227	43	9.30	+	4.62	4.84E-15	1.91E-11
cornification (GO:0070268)	113	20	4.63	+	4.32	2.63E-07	9.03E-05
cranial nerve development (GO:0021545)	51	9	2.09	+	4.31	5.31E-04	4.82E-02
multicellular organismal response to stress (GO:0033555)	67	11	2.75	+	4.01	2.31E-04	2.72E-02
keratinocyte differentiation (GO:0030216)	270	44	11.06	+	3.98	2.48E-13	3.57E-10
epidermal cell differentiation (GO:0009913)	322	46	13.20	+	3.49	4.43E-12	3.68E-09
defense response to Gram-negative bacterium (GO:0050829)	91	13	3.73	+	3.49	2.23E-04	2.65E-02
skin development (GO:0043588)	385	52	15.78	+	3.30	1.20E-12	1.35E-09
sodium ion transmembrane transport (GO:0035725)	119	16	4.88	+	3.28	8.38E-05	1.30E-02
neurotransmitter transport (GO:0006836)	142	19	5.82	+	3.27	1.99E-05	4.26E-03
regulation of systemic arterial blood pressure (GO:0003073)	100	13	4.10	+	3.17	5.06E-04	4.79E-02
epidermis development (GO:0008544)	422	54	17.29	+	3.12	2.94E-12	3.10E-09
potassium ion transport (GO:0006813)	167	21	6.84	+	3.07	1.74E-05	3.81E-03
potassium ion transmembrane transport (GO:0071805)	158	19	6.47	+	2.93	7.42E-05	1.19E-02
antimicrobial humoral response (GO:0019730)	154	18	6.31	+	2.85	1.57E-04	2.04E-02
sodium ion transport (GO:0006814)	176	19	7.21	+	2.63	2.66E-04	3.00E-02
regulation of blood pressure (GO:0008217)	188	20	7.70	+	2.60	2.21E-04	2.65E-02
positive regulation of cation transmembrane transport (GO:1904064)	171	18	7.01	+	2.57	5.02E-04	4.78E-02
cognition (GO:0050890)	298	30	12.21	+	2.46	1.94E-05	4.21E-03
epithelial cell differentiation (GO:0030855)	686	67	28.11	+	2.38	6.65E-10	3.75E-07
learning or memory (GO:0007611)	256	25	10.49	+	2.38	1.46E-04	1.97E-02
positive regulation of ion transport (GO:0043270)	297	29	12.17	+	2.38	4.24E-05	7.70E-03
trans-synaptic signaling (GO:0099537)	432	37	17.70	+	2.09	5.99E-05	1.02E-02
regulation of ion transport (GO:0043269)	703	60	28.81	+	2.08	3.44E-07	1.13E-04
chemical synaptic transmission (GO:0007268)	414	35	16.97	+	2.06	1.20E-04	1.69E-02
anterograde trans-synaptic signaling (GO:0098916)	414	35	16.97	+	2.06	1.20E-04	1.68E-02
behavior (GO:0007610)	557	47	22.83	+	2.06	9.76E-06	2.34E-03
modulation of chemical synaptic transmission (GO:0050804)	431	36	17.66	+	2.04	1.48E-04	1.94E-02
regulation of trans-synaptic signaling (GO:0099177)	432	36	17.70	+	2.03	1.51E-04	1.97E-02
synaptic signaling (GO:0099536)	464	38	19.02	+	2.00	1.59E-04	2.04E-02
regulation of ion transmembrane transport (GO:0034765)	502	40	20.57	+	1.94	1.79E-04	2.25E-02
inorganic cation transmembrane transport (GO:0098662)	573	45	23.48	+	1.92	8.31E-05	1.30E-02
neuron projection morphogenesis (GO:0048812)	499	39	20.45	+	1.91	2.73E-04	3.04E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	39	20.61	+	1.89	2.96E-04	3.12E-02
cell projection morphogenesis (GO:0048858)	507	39	20.78	+	1.88	3.25E-04	3.36E-02
circulatory system process (GO:0003013)	481	37	19.71	+	1.88	5.16E-04	4.83E-02
cation transmembrane transport (GO:0098655)	641	49	26.27	+	1.87	8.53E-05	1.30E-02
inorganic ion transmembrane transport (GO:0098660)	637	47	26.10	+	1.80	2.77E-04	3.06E-02
epithelium development (GO:0060429)	1113	82	45.61	+	1.80	1.10E-06	3.17E-04
regulation of system process (GO:0044057)	585	43	23.97	+	1.79	5.11E-04	4.81E-02
regulation of transmembrane transport (GO:0034762)	591	43	24.22	+	1.78	5.55E-04	4.99E-02
tissue development (GO:0009888)	1729	125	70.86	+	1.76	2.06E-09	1.02E-06
system process (GO:0003008)	2057	147	84.30	+	1.74	1.33E-10	8.11E-08
biological adhesion (GO:0022610)	959	68	39.30	+	1.73	3.35E-05	6.38E-03
nervous system process (GO:0050877)	1416	100	58.03	+	1.72	3.20E-07	1.08E-04
cell adhesion (GO:0007155)	953	67	39.05	+	1.72	4.55E-05	7.99E-03
sensory perception (GO:0007600)	979	68	40.12	+	1.69	5.68E-05	9.76E-03
animal organ development (GO:0048513)	3220	217	131.96	+	1.64	2.17E-13	3.43E-10
defense response (GO:0006952)	1426	95	58.44	+	1.63	7.60E-06	1.88E-03
neuron differentiation (GO:0030182)	1043	69	42.74	+	1.61	1.82E-04	2.26E-02
generation of neurons (GO:0048699)	1271	82	52.09	+	1.57	9.01E-05	1.36E-02
system development (GO:0048731)	4330	278	177.45	+	1.57	4.41E-15	2.32E-11
neurogenesis (GO:0022008)	1391	88	57.00	+	1.54	9.73E-05	1.42E-02
positive regulation of developmental process (GO:0051094)	1271	80	52.09	+	1.54	2.80E-04	3.08E-02
multicellular organism development (GO:0007275)	4941	310	202.49	+	1.53	7.30E-16	5.77E-12
cell differentiation (GO:0030154)	3575	221	146.51	+	1.51	4.19E-10	2.45E-07
response to external biotic stimulus (GO:0043207)	1426	88	58.44	+	1.51	2.61E-04	2.97E-02
regulation of multicellular organismal development (GO:2000026)	1332	82	54.59	+	1.50	3.89E-04	3.86E-02
positive regulation of multicellular organismal process (GO:0051240)	1431	88	58.64	+	1.50	2.68E-04	3.01E-02
cellular developmental process (GO:0048869)	3634	222	148.92	+	1.49	9.74E-10	4.97E-07
response to other organism (GO:0051707)	1425	87	58.40	+	1.49	3.44E-04	3.46E-02
multicellular organismal process (GO:0032501)	6926	421	283.83	+	1.48	2.47E-21	3.90E-17
regulation of multicellular organismal process (GO:0051239)	2673	161	109.54	+	1.47	1.00E-06	2.94E-04
anatomical structure development (GO:0048856)	5330	320	218.43	+	1.47	6.43E-14	1.27E-10
response to oxygen-containing compound (GO:1901700)	1604	96	65.73	+	1.46	3.33E-04	3.42E-02
response to external stimulus (GO:0009605)	2525	151	103.48	+	1.46	3.55E-06	9.35E-04
nervous system development (GO:0007399)	2218	131	90.90	+	1.44	3.79E-05	6.97E-03
regulation of developmental process (GO:0050793)	2461	141	100.85	+	1.40	6.66E-05	1.08E-02
developmental process (GO:0032502)	5797	331	237.57	+	1.39	1.41E-11	1.01E-08
anatomical structure morphogenesis (GO:0009653)	2158	123	88.44	+	1.39	3.19E-04	3.34E-02
regulation of biological quality (GO:0065008)	3995	213	163.72	+	1.30	4.62E-05	8.03E-03
response to chemical (GO:0042221)	4381	223	179.54	+	1.24	5.22E-04	4.83E-02
